Date,HomeTeam,AwayTeam,Avg_H,Avg_D,Avg_A
29/03/2024,Lille,Lens,2.15,3.42,3.56
30/03/2024,Metz,Monaco,5.14,4.18,1.65
30/03/2024,Lyon,Reims,2.08,3.70,3.49
31/03/2024,Lorient,Brest,4.00,3.39,2.02
31/03/2024,Clermont,Toulouse,3.14,3.37,2.36
31/03/2024,Le Havre,Montpellier,2.57,3.35,2.84
31/03/2024,Nice,Nantes,1.76,3.62,5.15
31/03/2024,Strasbourg,Rennes,3.10,3.47,2.33
31/03/2024,Marseille,Paris SG,3.27,3.87,2.10
05/04/2024,Lille,Marseille,2.27,3.45,3.16
06/04/2024,Lens,Le Havre,1.56,4.13,6.17
06/04/2024,Paris SG,Clermont,1.16,8.63,14.38
07/04/2024,Brest,Metz,1.54,3.98,6.70
07/04/2024,Montpellier,Lorient,1.67,4.11,4.93
07/04/2024,Reims,Nice,2.53,3.26,2.89
07/04/2024,Toulouse,Strasbourg,2.05,3.61,3.56
07/04/2024,Monaco,Rennes,1.88,3.87,3.90
07/04/2024,Nantes,Lyon,3.22,3.38,2.28
