Date,HomeTeam,AwayTeam,Avg_H,Avg_D,Avg_A
30/03/2024,Newcastle,West Ham,1.86,4.18,3.87
30/03/2024,Bournemouth,Everton,2.19,3.65,3.26
30/03/2024,Chelsea,Burnley,1.31,6.00,9.24
30/03/2024,Nott'm Forest,Crystal Palace,2.27,3.38,3.33
30/03/2024,Sheffield United,Fulham,4.71,4.02,1.74
30/03/2024,Tottenham,Luton,1.22,7.57,11.27
30/03/2024,Aston Villa,Wolves,1.65,4.43,4.85
30/03/2024,Brentford,Man United,3.06,3.86,2.22
31/03/2024,Liverpool,Brighton,1.38,5.65,7.35
31/03/2024,Man City,Arsenal,1.92,3.84,3.90
02/04/2024,Newcastle,Everton,1.85,3.99,3.98
02/04/2024,Nott'm Forest,Fulham,2.68,3.37,2.69
02/04/2024,Bournemouth,Crystal Palace,1.91,3.81,3.93
02/04/2024,Burnley,Wolves,2.85,3.56,2.44
02/04/2024,West Ham,Tottenham,3.09,4.02,2.14
03/04/2024,Arsenal,Luton,1.17,8.13,14.98
03/04/2024,Brentford,Brighton,2.77,3.77,2.42
03/04/2024,Man City,Aston Villa,1.26,6.61,10.22
04/04/2024,Liverpool,Sheffield United,1.08,13.37,23.42
04/04/2024,Chelsea,Man United,1.99,3.96,3.48
