Date,HomeTeam,AwayTeam,Avg_H,Avg_D,Avg_A
05/04/2024,Lille,Marseille,2.20,3.41,3.47
06/04/2024,Lens,Le Havre,1.57,4.09,6.34
06/04/2024,Paris SG,Clermont,1.18,8.22,14.38
07/04/2024,Brest,Metz,1.55,4.04,6.88
07/04/2024,Montpellier,Lorient,1.81,3.90,4.34
07/04/2024,Reims,Nice,2.50,3.27,3.00
07/04/2024,Toulouse,Strasbourg,2.08,3.57,3.61
07/04/2024,Monaco,Rennes,1.84,4.03,4.03
07/04/2024,Nantes,Lyon,3.28,3.36,2.29
12/04/2024,Metz,Lens,4.24,3.65,1.87
13/04/2024,Strasbourg,Reims,2.80,3.45,2.52
13/04/2024,Rennes,Toulouse,1.87,3.78,4.09
14/04/2024,Le Havre,Nantes,2.51,3.09,3.10
14/04/2024,Clermont,Montpellier,3.37,3.55,2.15
14/04/2024,Lyon,Brest,2.32,3.35,3.21
