Date,HomeTeam,AwayTeam,Avg_H,Avg_D,Avg_A
04/04/2024,Liverpool,Sheffield United,1.08,14.63,25.75
04/04/2024,Chelsea,Man United,1.89,4.30,3.72
06/04/2024,Crystal Palace,Man City,9.18,5.25,1.36
06/04/2024,Aston Villa,Brentford,1.69,4.28,4.79
06/04/2024,Everton,Burnley,1.68,4.17,4.99
06/04/2024,Fulham,Newcastle,2.41,3.81,2.81
06/04/2024,Luton,Bournemouth,3.60,4.01,1.96
06/04/2024,Wolves,West Ham,2.50,3.65,2.77
06/04/2024,Brighton,Arsenal,5.20,4.38,1.63
07/04/2024,Man United,Liverpool,4.39,4.45,1.72
07/04/2024,Sheffield United,Chelsea,6.84,5.22,1.44
07/04/2024,Tottenham,Nott'm Forest,1.42,5.31,7.07
23/04/2024,Arsenal,Chelsea,-,-,-
24/04/2024,Wolves,Bournemouth,-,-,-
24/04/2024,Crystal Palace,Newcastle,-,-,-
24/04/2024,Everton,Liverpool,-,-,-
24/04/2024,Man United,Sheffield United,-,-,-
25/04/2024,Brighton,Man City,-,-,-
