Date,HomeTeam,AwayTeam,Avg_H,Avg_D,Avg_A
30/03/2024,Newcastle,West Ham,1.80,4.16,4.11
30/03/2024,Bournemouth,Everton,2.18,3.64,3.25
30/03/2024,Chelsea,Burnley,1.33,5.74,8.71
30/03/2024,Nott'm Forest,Crystal Palace,2.25,3.37,3.33
30/03/2024,Sheffield United,Fulham,4.53,3.97,1.75
30/03/2024,Tottenham,Luton,1.26,6.87,9.72
30/03/2024,Aston Villa,Wolves,1.62,4.39,5.02
30/03/2024,Brentford,Man United,2.98,3.70,2.30
31/03/2024,Liverpool,Brighton,1.37,5.70,7.35
31/03/2024,Man City,Arsenal,1.80,3.90,4.34
02/04/2024,Newcastle,Everton,1.84,4.01,3.97
02/04/2024,Nott'm Forest,Fulham,2.66,3.49,2.63
02/04/2024,Bournemouth,Crystal Palace,1.89,3.82,3.94
02/04/2024,Burnley,Wolves,2.72,3.50,2.56
02/04/2024,West Ham,Tottenham,3.22,4.01,2.07
03/04/2024,Arsenal,Luton,1.18,8.06,14.21
03/04/2024,Brentford,Brighton,2.63,3.68,2.56
03/04/2024,Man City,Aston Villa,1.31,6.14,8.58
04/04/2024,Liverpool,Sheffield United,1.10,12.25,19.18
04/04/2024,Chelsea,Man United,1.99,3.93,3.48
