Date,HomeTeam,AwayTeam,Avg_H,Avg_D,Avg_A
29/03/2024,Lille,Lens,2.10,3.47,3.57
30/03/2024,Metz,Monaco,5.29,4.25,1.61
30/03/2024,Lyon,Reims,2.14,3.65,3.29
31/03/2024,Lorient,Brest,3.96,3.46,1.98
31/03/2024,Clermont,Toulouse,3.01,3.40,2.39
31/03/2024,Le Havre,Montpellier,2.66,3.34,2.71
31/03/2024,Nice,Nantes,1.61,3.80,6.19
31/03/2024,Strasbourg,Rennes,3.13,3.50,2.27
31/03/2024,Marseille,Paris SG,3.07,3.81,2.18
05/04/2024,Lille,Marseille,2.17,3.51,3.40
06/04/2024,Lens,Le Havre,1.56,4.16,6.19
06/04/2024,Paris SG,Clermont,1.16,8.79,14.49
07/04/2024,Brest,Metz,1.55,4.03,6.72
07/04/2024,Montpellier,Lorient,1.69,4.05,4.93
07/04/2024,Reims,Nice,2.49,3.28,3.00
07/04/2024,Toulouse,Strasbourg,2.06,3.62,3.61
07/04/2024,Monaco,Rennes,1.90,3.89,3.92
07/04/2024,Nantes,Lyon,3.00,3.31,2.48
