Date,HomeTeam,AwayTeam,Avg_H,Avg_D,Avg_A
02/04/2024,Newcastle,Everton,2.02,3.89,3.54
02/04/2024,Nott'm Forest,Fulham,2.74,3.49,2.61
02/04/2024,Bournemouth,Crystal Palace,1.99,3.73,3.78
02/04/2024,Burnley,Wolves,2.54,3.50,2.80
02/04/2024,West Ham,Tottenham,3.32,4.13,2.03
03/04/2024,Arsenal,Luton,1.11,11.47,21.93
03/04/2024,Brentford,Brighton,2.40,3.81,2.82
03/04/2024,Man City,Aston Villa,1.30,6.33,9.27
04/04/2024,Liverpool,Sheffield United,1.09,13.07,24.67
04/04/2024,Chelsea,Man United,2.03,4.06,3.37
06/04/2024,Crystal Palace,Man City,8.78,5.26,1.36
06/04/2024,Aston Villa,Brentford,1.72,4.27,4.47
06/04/2024,Everton,Burnley,1.67,4.14,4.99
06/04/2024,Fulham,Newcastle,2.50,3.72,2.70
06/04/2024,Luton,Bournemouth,3.24,3.92,2.10
06/04/2024,Wolves,West Ham,2.46,3.68,2.76
06/04/2024,Brighton,Arsenal,5.02,4.34,1.64
07/04/2024,Man United,Liverpool,4.06,4.26,1.79
07/04/2024,Sheffield United,Chelsea,6.92,5.21,1.42
07/04/2024,Tottenham,Nott'm Forest,1.39,5.41,7.30
