Date,HomeTeam,AwayTeam,Avg_H,Avg_D,Avg_A
29/03/2024,Lille,Lens,2.11,3.46,3.59
30/03/2024,Metz,Monaco,5.30,4.24,1.62
30/03/2024,Lyon,Reims,2.14,3.67,3.29
31/03/2024,Lorient,Brest,3.97,3.42,2.00
31/03/2024,Clermont,Toulouse,3.04,3.37,2.40
31/03/2024,Le Havre,Montpellier,2.67,3.34,2.72
31/03/2024,Nice,Nantes,1.61,3.80,6.25
31/03/2024,Strasbourg,Rennes,3.13,3.50,2.28
31/03/2024,Marseille,Paris SG,3.09,3.81,2.18
05/04/2024,Lille,Marseille,2.26,3.47,3.18
06/04/2024,Lens,Le Havre,1.56,4.14,6.13
06/04/2024,Paris SG,Clermont,1.16,8.54,14.27
07/04/2024,Brest,Metz,1.55,3.98,6.69
07/04/2024,Montpellier,Lorient,1.69,4.01,4.89
07/04/2024,Reims,Nice,2.53,3.25,2.92
07/04/2024,Toulouse,Strasbourg,2.05,3.60,3.58
07/04/2024,Monaco,Rennes,1.89,3.86,3.89
07/04/2024,Nantes,Lyon,2.97,3.31,2.45
